image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
,덤벨 킥백,덤벨킥백,,exercise_images/local_downloads/previous_style/exercise_images_64_94/69_덤벨_킥백.png,,0,,,missing_zip_entry
,글루트 브릿지,글루트브릿지,,exercise_images/local_downloads/previous_style/exercise_images_64_94/70_글루트_브릿지.png,,0,,,missing_zip_entry
,사이드 플랭크,사이드플랭크,,exercise_images/local_downloads/previous_style/exercise_images_64_94/71_사이드_플랭크.png,,0,,,missing_zip_entry
,슈퍼맨,슈퍼맨,,exercise_images/local_downloads/previous_style/exercise_images_64_94/72_슈퍼맨.png,,0,,,missing_zip_entry
,크런치,크런치,,exercise_images/local_downloads/previous_style/exercise_images_64_94/73_크런치.png,,0,,,missing_zip_entry
,리버스 크런치,리버스크런치,,exercise_images/local_downloads/previous_style/exercise_images_64_94/74_리버스_크런치.png,,0,,,missing_zip_entry
,레그 레이즈,레그레이즈,,exercise_images/local_downloads/previous_style/exercise_images_64_94/75_레그_레이즈.png,,0,,,missing_zip_entry
,하이퍼익스텐션,하이퍼익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/76_하이퍼익스텐션.png,,0,,,missing_zip_entry
,백 익스텐션,백익스텐션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/77_백_익스텐션.png,,0,,,missing_zip_entry
,힙 쓰러스트,힙쓰러스트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/78_힙_쓰러스트.png,,0,,,missing_zip_entry
,싱글 레그 힙 쓰러스트,싱글레그힙쓰러스트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/79_싱글_레그_힙_쓰러스트.png,,0,,,missing_zip_entry
,싱글 레그 글루트 브릿지,싱글레그글루트브릿지,,exercise_images/local_downloads/previous_style/exercise_images_64_94/80_싱글_레그_글루트_브릿지.png,,0,,,missing_zip_entry
,원암 덤벨 로우,원암덤벨로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/81_원암_덤벨_로우.png,,0,,,missing_zip_entry
,체스트 서포티드 원암 덤벨 로우,체스트서포티드원암덤벨로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/82_체스트_서포티드_원암_덤벨_로우.png,,0,,,missing_zip_entry
,원암 로우,원암로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/83_원암_로우.png,,0,,,missing_zip_entry
,체스트 서포티드 원암 로우,체스트서포티드원암로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/84_체스트_서포티드_원암_로우.png,,0,,,missing_zip_entry
